Timestamp,Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,SMA_500
2026-01-01 09:15:00+05:30,216.5,217.8,213.02,216.42,6362680,,,,,,,
2026-01-01 09:30:00+05:30,216.45,216.79,215.64,216.63,2351109,,,,,,,
2026-01-01 09:45:00+05:30,216.64,216.65,216.3,216.45,1208663,,,,,,,
2026-01-01 10:00:00+05:30,216.45,216.55,215.74,215.89,1186374,,,,,,,
2026-01-01 10:15:00+05:30,215.89,215.9,214.9,215.58,2179729,216.19400000000002,,,,,,
2026-01-01 10:30:00+05:30,215.58,215.66,214.65,214.78,1915271,215.86599999999999,,,,,,
2026-01-01 10:45:00+05:30,214.71,215.3,214.7,215.25,1346512,215.59,,,,,,
2026-01-01 11:00:00+05:30,215.24,215.74,215.1,215.25,1027457,215.35,,,,,,
2026-01-01 11:15:00+05:30,215.24,215.7,215.1,215.52,733946,215.276,,,,,,
2026-01-01 11:30:00+05:30,215.53,215.6,215.41,215.45,395260,215.25,215.72199999999998,,,,,
2026-01-01 11:45:00+05:30,215.53,215.7,215.4,215.49,505503,215.392,215.629,,,,,
2026-01-01 12:00:00+05:30,215.49,215.64,215.47,215.62,504135,215.46599999999998,215.52800000000002,,,,,
2026-01-01 12:15:00+05:30,215.62,215.69,215.36,215.52,605869,215.51999999999998,215.435,,,,,
2026-01-01 12:30:00+05:30,215.52,215.53,215.06,215.17,889588,215.45,215.363,,,,,
2026-01-01 12:45:00+05:30,215.16,215.18,214.85,214.89,1134392,215.33800000000002,215.294,,,,,
2026-01-01 13:00:00+05:30,214.9,215.1,214.55,214.72,1872569,215.18399999999997,215.288,,,,,
2026-01-01 13:15:00+05:30,214.72,214.72,214.51,214.54,708345,214.96800000000002,215.217,,,,,
2026-01-01 13:30:00+05:30,214.54,214.55,214.05,214.11,1612840,214.68599999999998,215.10299999999998,,,,,
2026-01-01 13:45:00+05:30,214.11,214.44,213.7,214.4,1856239,214.532,214.99099999999999,,,,,
2026-01-01 14:00:00+05:30,214.39,214.93,214.16,214.8,1780333,214.51399999999998,214.926,215.32399999999998,,,,
2026-01-01 14:15:00+05:30,214.83,214.89,213.9,214.24,1363618,214.41799999999998,214.801,215.215,,,,
2026-01-01 14:30:00+05:30,214.24,215.1,214.24,215.08,1567829,214.526,214.747,215.1375,,,,
2026-01-01 14:45:00+05:30,215.09,215.09,214.5,214.99,1134137,214.702,214.69400000000002,215.0645,,,,
2026-01-01 15:00:00+05:30,214.99,215.06,214.65,214.8,1534094,214.782,214.657,215.01,,,,
2026-01-01 15:15:00+05:30,214.7,215.6,214.62,215.1,2858157,214.842,214.67800000000003,214.98600000000002,,,,
2026-01-02 09:15:00+05:30,220.33,221.0,217.6,219.77,8243082,215.948,215.183,215.2355,,,,
2026-01-02 09:30:00+05:30,219.77,221.75,219.76,221.23,7026716,217.17800000000003,215.852,215.53449999999998,,,,
2026-01-02 09:45:00+05:30,221.23,221.23,220.2,220.56,3218381,218.292,216.497,215.8,,,,
2026-01-02 10:00:00+05:30,220.59,220.94,220.21,220.5,2524864,219.43200000000002,217.10700000000003,216.04899999999998,,,,
2026-01-02 10:15:00+05:30,220.5,220.5,219.7,220.09,2271578,220.43,217.63600000000002,216.281,,,,
2026-01-02 10:30:00+05:30,220.08,220.18,219.15,220.04,2219601,220.484,218.21599999999998,216.5085,,,,
2026-01-02 10:45:00+05:30,220.04,220.85,220.02,220.73,2022259,220.38400000000001,218.781,216.76399999999998,,,,
2026-01-02 11:00:00+05:30,220.73,220.99,220.38,220.9,1726047,220.452,219.372,217.033,,,,
2026-01-02 11:15:00+05:30,220.93,221.3,220.81,221.16,2204874,220.584,220.00799999999998,217.33249999999998,,,,
2026-01-02 11:30:00+05:30,221.16,221.23,220.8,220.89,1595060,220.744,220.587,217.63250000000002,,,,
2026-01-02 11:45:00+05:30,220.88,221.6,220.71,221.57,1995266,221.05,220.767,217.975,,,,
2026-01-02 12:00:00+05:30,221.57,222.0,221.39,221.96,1996695,221.296,220.84,218.346,,,,
2026-01-02 12:15:00+05:30,221.96,222.19,221.6,221.85,2554898,221.48600000000002,220.969,218.733,,,,
2026-01-02 12:30:00+05:30,221.89,221.9,221.12,221.34,2045118,221.522,221.05300000000003,219.07999999999998,,,,
2026-01-02 12:45:00+05:30,221.34,221.4,220.85,221.17,2627812,221.57800000000003,221.16099999999997,219.3985,,,,
2026-01-02 13:00:00+05:30,221.17,221.4,220.72,220.8,2486301,221.42399999999998,221.237,219.7265,,,,
2026-01-02 13:15:00+05:30,220.75,221.15,220.64,220.82,1493258,221.196,221.246,220.01349999999996,,,,
2026-01-02 13:30:00+05:30,220.82,221.09,220.76,220.9,1281263,221.006,221.246,220.30900000000003,,,,
2026-01-02 13:45:00+05:30,220.94,221.42,220.88,221.4,1211636,221.01800000000003,221.26999999999998,220.63899999999998,,,,
2026-01-02 14:00:00+05:30,221.44,221.54,221.08,221.49,1116494,221.08199999999997,221.33,220.95850000000002,,,,
2026-01-02 14:15:00+05:30,221.49,221.69,221.12,221.56,1089120,221.234,221.329,221.048,,,,
2026-01-02 14:30:00+05:30,221.56,221.59,221.2,221.39,978340,221.348,221.27200000000002,221.05600000000004,,,,
2026-01-02 14:45:00+05:30,221.39,221.8,221.33,221.79,1283822,221.52599999999998,221.266,221.1175,,,,
2026-01-02 15:00:00+05:30,221.79,221.88,221.51,221.6,2310443,221.56599999999997,221.292,221.17249999999999,,,,
2026-01-02 15:15:00+05:30,221.65,222.2,221.65,222.17,5386222,221.702,221.392,221.2765,218.16740000000001,,,
2026-01-05 09:15:00+05:30,222.9,226.8,222.2,222.84,9731537,221.958,221.596,221.41649999999998,218.29579999999999,,,
